Region,ParkCode,ParkName,State,GrossAcres
Southeast,ABLI,A LINCOLN BIRTHPL NHP,KY,344.50
Northeast,ACAD,ACADIA NP,ME,"49,057.36"
Northeast,ADAM,ADAMS NHP,MA,23.82
Northeast,AFBG,AFRICAN BURIAL GROUND NM,NY,0.35
Midwest,AGFO,AGATE FOSSIL BEDS NM,NE,"3,057.87"
Alaska,,ALAGNAK WILD RVR,AK,"30,664.79"
Intermountain,ALFL,ALIBATES FLINT QUARRIES NM,TX,"1,370.97"
Northeast,ALPO,ALLEGHENY PRTGE RR NHS,PA,"1,284.27"
Intermountain,AMIS,AMISTAD NRA,TX,"58,500.00"
Southeast,ANDE,ANDERSONVILLE NHS,GA,515.61
Southeast,ANJO,ANDREW JOHNSON NHS,TN,16.68
Alaska,,ANIAKCHAK N PRESERVE,AK,"464,117.93"
Alaska,,ANIAKCHAK NM,AK,"137,176.00"
National Capital,ANIT,ANTIETAM NB,MD,"3,230.38"
Midwest,APIS,APOSTLE ISLANDS NL,WI,"69,377.43"
Northeast,APCO,APPOMATTOX CRT HS NHP,VA,"1,774.12"
Intermountain,ARCH,ARCHES NP,UT,"76,678.98"
Midwest,ARPO,ARKANSAS POST NMEM,AR,757.51
National Capital,ARHO,"ARL HOUSE, R E LEE MEM",VA,28.08
Northeast,ASIS,ASSATEAGUE ISLAND NS,MD,"41,346.50"
Northeast,ASIS,ASSATEAGUE ISLAND NS,VA,"41,346.50"
Intermountain,AZRU,AZTEC RUINS NM,NM,318.40
Midwest,BADL,BADLANDS NP,SD,"242,755.94"
Intermountain,BAND,BANDELIER NM,NM,"33,676.67"
National Capital,BEPA,BELMONT-PAUL WOMENS EQLTY NM,DC,0.34
Intermountain,BEOL,BENT'S OLD FORT NHS,CO,798.80
Alaska,BELA,BERING LAND BRIDGE N PRES,AK,"2,697,391.01"
Intermountain,BIBE,BIG BEND NP,TX,"801,163.21"
Southeast,,BIG CYPRESS ADDITION,FL,"146,110.69"
Southeast,BICY,BIG CYPRESS N PRESERVE,FL,"574,453.32"
Pacific West,BIHO,BIG HOLE NB,MT,975.61
Southeast,BIXO,BIG SOUTH FORK RA & NR,KY,"123,694.10"
Southeast,BIXO,BIG SOUTH FORK RA & NR,TN,"123,694.10"
Intermountain,BITH,BIG THICKET N PRESERVE,TX,"112,500.81"
Intermountain,BICA,BIGHORN CANYON NRA,MT,"120,296.22"
Intermountain,BICA,BIGHORN CANYON NRA,WY,"120,296.22"
Southeast,BISC,BISCAYNE NP,FL,"172,971.11"
Intermountain,BLCA,BLACK CANYON OF GUNNISON NP,CO,"30,749.75"
Northeast,,BLACKSTONE RIVER VALLEY NHP,MA,"1,489.00"
Northeast,,BLACKSTONE RIVER VALLEY NHP,RI,"1,489.00"
Northeast,BLUE,BLUESTONE NSR,WV,"4,309.51"
Northeast,BOWA,BOOKER T WASHINGTON NM,VA,239.01
Northeast,BOAF,BOSTON AFRI-AMER NHS,MA,0.59
Northeast,,BOSTON HARBOR ISLAND NRA,MA,"1,482.31"
Northeast,BOST,BOSTON NHP,MA,43.82
Southeast,BRCR,BRICES CROSS RDS NBS,MS,1.00
Midwest,BRVB,BROWN V. BD OF ED. NHS,KS,1.85
Intermountain,BRCA,BRYCE CANYON NP,UT,"35,835.08"
Southeast,BUIS,BUCK ISLAND REEF NM,VI,"19,015.47"
Midwest,BUFF,BUFFALO N RVR,AR,"94,293.31"
National Capital,,C & O CANAL NHP,MD,"19,612.37"
National Capital,,C & O CANAL NHP,DC,"19,612.37"
National Capital,,C & O CANAL NHP,WV,"19,612.37"
Pacific West,CABR,CABRILLO NM,CA,159.94
Southeast,CANA,CANAVERAL NS,FL,"57,661.69"
Southeast,CARI,CANE RIVER CREOLE NHP,LA,205.50
Intermountain,CACH,CANYON DE CHELLY NM,AZ,"83,840.00"
Intermountain,CANY,CANYONLANDS NP,UT,"337,597.83"
Northeast,CACO,CAPE COD NS,MA,"43,608.43"
Southeast,CAHA,CAPE HATTERAS NS,NC,"30,350.65"
Alaska,CAKR,CAPE KRUSENSTERN NM,AK,"649,096.15"
Southeast,CALO,CAPE LOOKOUT NS,NC,"28,243.36"
